Comment,Designator,Footprint,LCSC
27k,"R12,R13",R_1206_3216Metric,C102319
2.2uF,C2,C_1206_3216Metric,C113893
LED,D1,LED_1206_3216Metric,C124051
Conn_01x04,J4,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,C124378
SW_DIP_x01,SW3,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,C126888
680pF,C1,C_1206_3216Metric,C129675
39k,R18,R_1206_3216Metric,C137296
120,R22,R_1206_3216Metric,C140026
ATmega328P-A,U2,TQFP-32_7x7mm_P0.8mm,C14877
1.2k,R1,R_1206_3216Metric,C17891
10k,"R14,R15,R2",R_1206_3216Metric,C17902
100k,R8,R_1206_3216Metric,C17928
4.7k,"R19,R20,R21",R_1206_3216Metric,C17936
2.2k,"R16,R17",R_1206_3216Metric,C17948
5.6k,"R5,R9",R_1206_3216Metric,C18028
1.8k,R6,R_1206_3216Metric,C204709
33uH,L1,L_Taiyo-Yuden_NR-60xx_HandSoldering,C2049900
Conn_02x03_Odd_Even,J9,PinHeader_2x03_P2.00mm_Vertical,C225518
0.1uF,"C3,C4,C7",C_1206_3216Metric,C24497
82k,"R10,R11,R7",R_1206_3216Metric,C25670
H_Bridge,H1,SOIC100P600X175-10N,C2653462
1k,R3,R_1206_3216Metric,C4410
Conn_01x03,J3,PinHeader_1x03_P2.54mm_Vertical,C49257
Conn_01x03,"J5,J6,J7,J8",Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,C505002
,T1,ADM4852ARZ,C658245
10uF,"C2A1,C2B1",C_1206_3216Metric,C89632
1uF,"C5,C6",C_1206_3216Metric,C91151
SW_DIP_x04,"SW1,SW2",SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,C99418
