Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,680pF,C_1206_3216Metric,141.224,-119.888,180.0,top
C2,2.2uF,C_1206_3216Metric,134.669,-109.728,0.0,top
C2A1,10uF,C_1206_3216Metric,147.877,-104.14,0.0,top
C2B1,10uF,C_1206_3216Metric,144.731,-109.728,180.0,top
C3,0.1uF,C_1206_3216Metric,139.651,-109.728,0.0,top
C4,0.1uF,C_1206_3216Metric,116.332,-103.632,180.0,top
C5,1uF,C_1206_3216Metric,116.403,-98.552,180.0,top
C6,1uF,C_1206_3216Metric,135.259,-121.158,90.0,top
C7,100nF,C_1206_3216Metric,150.9776,-84.7344,180.0,top
C8,10uF,C_1206_3216Metric,163.019,-75.438,0.0,top
C9,1nF,C_1206_3216Metric,127.381,-89.408,0.0,top
C10,1nF,C_1206_3216Metric,119.507,-89.408,180.0,top
C11,1nF,C_1206_3216Metric,111.506,-89.408,0.0,top
D1,LED,LED_1206_3216Metric,171.45,-67.186,-90.0,top
H1,H_Bridge,SOIC100P600X175-10N,161.544,-70.019,90.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,132.319,-94.742,90.0,top
J4,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,161.306,-60.198,0.0,top
J5,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,148.336,-60.198,180.0,top
J6,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,137.583332,-60.198,180.0,top
J7,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,126.830666,-60.218,180.0,top
J8,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,116.078,-60.218,180.0,top
J9,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,152.04,-76.725,0.0,top
L1,33uH,L_Taiyo-Yuden_NR-60xx_HandSoldering,140.847,-104.902,180.0,top
R1,1.2k,R_1206_3216Metric,142.748,-123.952,90.0,top
R2,10k,R_1206_3216Metric,140.208,-123.952,90.0,top
R3,1k,R_1206_3216Metric,157.48,-91.44,0.0,top
R5,5.6k,R_1206_3216Metric,114.879,-94.488,-90.0,top
R6,1.8k,R_1206_3216Metric,117.673,-94.488,90.0,top
R7,82k,R_1206_3216Metric,137.799,-121.158,90.0,top
R8,100k,R_1206_3216Metric,132.3594,-121.8652,90.0,top
R9,5.6k,R_1206_3216Metric,132.3594,-117.2317,-90.0,top
R10,82k,R_1206_3216Metric,125.984,-70.6735,-90.0,top
R11,82k,R_1206_3216Metric,113.284,-70.6735,-90.0,top
R12,27k,R_1206_3216Metric,128.524,-70.6735,-90.0,top
R13,27k,R_1206_3216Metric,115.824,-70.6735,-90.0,top
R14,10k,R_1206_3216Metric,131.064,-70.6735,-90.0,top
R15,10k,R_1206_3216Metric,118.364,-70.6735,-90.0,top
R16,2.2k,R_1206_3216Metric,133.604,-70.6735,-90.0,top
R17,2.2k,R_1206_3216Metric,120.904,-70.6735,-90.0,top
R18,39k,R_1206_3216Metric,145.288,-123.8905,-90.0,top
R19,4.7k,R_1206_3216Metric,127.3917,-86.868,180.0,top
R20,4.7k,R_1206_3216Metric,119.5177,-86.868,0.0,top
R21,4.7k,R_1206_3216Metric,111.5207,-86.868,180.0,top
R22,120,R_1206_3216Metric,171.45,-72.39,90.0,top
SW1,SW_DIP_x04,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,129.9718,-79.3242,-90.0,top
SW2,SW_DIP_x04,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,116.7738,-79.3242,-90.0,top
SW3,SW_DIP_x01,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,107.3912,-79.3242,-90.0,top
T1,ADM4852ARZ,ADM4852ARZ,162.56,-97.155,0.0,top
U2,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,160.56,-84.65,180.0,top
Y1,CSTNE16M0V530000R0,OSC_CSTNE16M0V530000R0,169.926,-82.2452,90.0,top
