Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,680pF,C_1206_3216Metric,150.622,-102.362,-90.0,top
C2,2.2uF,C_1206_3216Metric,137.16,-109.22,0.0,top
C2A1,10uF,C_1206_3216Metric,147.495,-102.235,-90.0,top
C2B1,10uF,C_1206_3216Metric,144.145,-102.235,-90.0,top
C3,0.1uF,C_1206_3216Metric,142.24,-109.22,0.0,top
C4,0.1uF,C_1206_3216Metric,116.657,-103.632,180.0,top
C5,1uF,C_1206_3216Metric,116.403,-98.552,180.0,top
C6,1uF,C_1206_3216Metric,137.795,-120.65,90.0,top
C7,100nF,C_1206_3216Metric,151.13,-85.09,180.0,top
D1,LED,LED_1206_3216Metric,171.45,-67.186,-90.0,top
H1,H_Bridge,SOIC100P600X175-10N,161.56,-71.035,90.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,132.319,-94.742,90.0,top
J4,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,161.306,-60.367,0.0,top
J5,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,140.335,-59.905,180.0,top
J6,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,140.335,-67.945,180.0,top
J7,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,140.335,-75.565,180.0,top
J8,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,140.335,-83.415,180.0,top
J9,Conn_02x03_Odd_Even,PinHeader_2x03_P2.00mm_Vertical,151.765,-76.2,0.0,top
L1,33uH,L_Taiyo-Yuden_NR-60xx_HandSoldering,138.43,-102.87,-90.0,top
R1,1.2k,R_1206_3216Metric,155.1325,-103.505,180.0,top
R2,10k,R_1206_3216Metric,142.875,-120.65,90.0,top
R3,1k,R_1206_3216Metric,157.48,-91.44,0.0,top
R5,5.6k,R_1206_3216Metric,114.879,-94.488,-90.0,top
R6,1.8k,R_1206_3216Metric,117.673,-94.488,90.0,top
R7,82k,R_1206_3216Metric,140.335,-120.65,90.0,top
R8,100k,R_1206_3216Metric,134.614319,-113.4725,-90.0,top
R9,5.6k,R_1206_3216Metric,134.62,-118.745,90.0,top
R10,82k,R_1206_3216Metric,113.056,-69.342,0.0,top
R11,82k,R_1206_3216Metric,113.056,-82.042,0.0,top
R12,27k,R_1206_3216Metric,113.056,-66.802,0.0,top
R13,27k,R_1206_3216Metric,113.056,-79.502,0.0,top
R14,10k,R_1206_3216Metric,113.056,-64.262,0.0,top
R15,10k,R_1206_3216Metric,113.056,-76.962,0.0,top
R16,2.2k,R_1206_3216Metric,113.056,-61.722,0.0,top
R17,2.2k,R_1206_3216Metric,113.056,-74.422,0.0,top
R18,39k,R_1206_3216Metric,155.1325,-100.33,0.0,top
R19,4.7k,R_1206_3216Metric,130.836,-69.342,180.0,top
R20,4.7k,R_1206_3216Metric,130.836,-82.042,180.0,top
R21,4.7k,R_1206_3216Metric,130.836,-87.122,180.0,top
R22,120,R_1206_3216Metric,171.45,-72.39,90.0,top
SW1,SW_DIP_x04,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,122.682,-64.77,0.0,top
SW2,SW_DIP_x04,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,122.6395,-77.968,0.0,top
SW3,SW_DIP_x01,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,122.6395,-87.376,0.0,top
T1,,ADM4852ARZ,162.06,-97.155,0.0,top
U2,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,160.56,-84.65,180.0,top
